Date,Description,Amount,Card,Category,Sub Category
2024-09-13,TechPoint,188.91,Visa,Merchandise,Electronics
2024-06-23,RideFly,40.97,Discover,Travel & Housing,Rideshare
2024-09-08,SoundWave,94.7,Discover,Entertainment,Music
2024-04-05,JetTrail,292.67,Mastercard,Travel & Housing,Flights
2024-12-31,FreshMart,40.05,Mastercard,Food,Groceries
2024-07-18,Nest & Nook,31.96,Amex,Merchandise,Home Goods
2024-08-15,Nest & Nook,41.8,Mastercard,Merchandise,Home Goods
2024-08-08,Power & Water Co.,1049.26,Visa,Travel & Housing,Rent/Utilities
2024-01-14,Café Aurora,4.12,Amex,Food,Coffee
2024-07-16,Bean & Leaf,7.65,Visa,Food,Coffee
2024-10-13,Festival Pass,63.16,Discover,Entertainment,Events
2024-03-27,Melody Mart,34.16,Mastercard,Entertainment,Music
2024-02-02,GameHub,53.43,Discover,Entertainment,Games
2024-02-09,Nest & Nook,183.02,Discover,Merchandise,Home Goods
2024-10-31,PlayPort,20.58,Visa,Entertainment,Games
2024-07-21,BeautyBay,97.47,Amex,Merchandise,Personal Care
2024-08-13,BookHaven,78.07,Mastercard,Merchandise,Books
2024-06-02,Care Corner,28.1,Amex,Merchandise,Personal Care
2024-03-31,GoCab,46.21,Discover,Travel & Housing,Rideshare
2024-10-21,Melody Mart,35.23,Discover,Entertainment,Music
2024-07-05,Door2Dish,40.43,Mastercard,Food,Delivery
2024-12-15,Taco Corner,10.77,Amex,Food,Fast Food
2024-12-20,Taco Corner,15.99,Amex,Food,Fast Food
2024-05-03,Wardrobe Co.,93.28,Discover,Merchandise,Clothing
2024-02-07,City Utilities,1185.38,Discover,Travel & Housing,Rent/Utilities
2024-10-05,Café Aurora,13.75,Visa,Food,Coffee
2024-02-25,TuneTown,68.23,Visa,Entertainment,Music
2024-10-15,GoCab,13.51,Visa,Travel & Housing,Rideshare
2024-05-12,Festival Pass,141.73,Mastercard,Entertainment,Events
2024-08-16,Readers' Roost,62.93,Mastercard,Merchandise,Books
2024-06-25,QuickBite,12.32,Visa,Food,Fast Food
2024-02-29,Melody Mart,40.88,Mastercard,Entertainment,Music
2024-09-23,GoCab,13.08,Discover,Travel & Housing,Rideshare
2024-06-12,Daily Brew,12.72,Visa,Food,Coffee
2024-01-12,ElectroMart,325.02,Mastercard,Merchandise,Electronics
2024-09-21,City Concerts,99.47,Discover,Entertainment,Events
2024-08-24,JoyStick Arena,26.21,Discover,Entertainment,Games
2024-07-21,Door2Dish,33.58,Discover,Food,Delivery
2024-07-18,Bistro 21,33.09,Visa,Food,Dining
2024-10-22,Door2Dish,29.56,Mastercard,Food,Delivery
2024-08-22,Café Aurora,13.35,Amex,Food,Coffee
2024-11-01,City Utilities,1194.66,Amex,Travel & Housing,Rent/Utilities
2024-06-29,RentPay,1636.79,Amex,Travel & Housing,Rent/Utilities
2024-11-10,Urban Diner,22.66,Amex,Food,Dining
2024-02-29,SoundWave,22.72,Discover,Entertainment,Music
2024-08-02,Arena Tickets,120.18,Discover,Entertainment,Events
2024-11-21,City Concerts,135.17,Mastercard,Entertainment,Events
2024-04-05,BookHaven,9.02,Amex,Merchandise,Books
2024-01-05,Grand Stay Hotel,377.93,Discover,Travel & Housing,Lodging
2024-07-28,Rapid Rail,17.12,Discover,Travel & Housing,Public Transit
2024-03-26,Door2Dish,50.2,Mastercard,Food,Delivery
2024-05-29,Daily Brew,9.45,Mastercard,Food,Coffee
2024-08-22,Power & Water Co.,270.76,Visa,Travel & Housing,Rent/Utilities
2024-05-17,Glow & Co.,92.4,Discover,Merchandise,Personal Care
2024-10-06,PlayPort,89.64,Mastercard,Entertainment,Games
2024-06-01,Burger Hub,13.27,Visa,Food,Fast Food
2024-08-12,Bistro 21,67.7,Amex,Food,Dining
2024-12-29,Harbor Inn,114.3,Mastercard,Travel & Housing,Lodging
2024-04-15,MealDash,37.55,Mastercard,Food,Delivery
2024-06-14,Living Loft,74.16,Visa,Merchandise,Home Goods
2024-03-10,SkyWings,704.27,Mastercard,Travel & Housing,Flights
2024-12-25,Streamify,20.09,Mastercard,Entertainment,Streaming
2024-12-12,Metro Transit,12.39,Amex,Travel & Housing,Public Transit
2024-11-17,City Line,3.36,Visa,Travel & Housing,Public Transit
2024-07-25,HomeWorks,238.06,Amex,Merchandise,Home Goods
2024-10-24,SuperFoods,146.38,Amex,Food,Groceries
2024-02-02,City Suites,381.69,Discover,Travel & Housing,Lodging
2024-05-17,HomeWorks,141.35,Mastercard,Merchandise,Home Goods
2024-10-16,MoveNow,47.64,Visa,Travel & Housing,Rideshare
2024-02-20,AeroAirlines,749.19,Mastercard,Travel & Housing,Flights
2024-08-13,SkyWings,225.67,Mastercard,Travel & Housing,Flights
2024-11-28,Urban Threads,32.27,Amex,Merchandise,Clothing
2024-05-08,Café Aurora,13.85,Mastercard,Food,Coffee
2024-01-27,MoveNow,44.37,Mastercard,Travel & Housing,Rideshare
2024-08-07,Whole Market,47.74,Visa,Food,Groceries
2024-03-08,Festival Pass,125.14,Visa,Entertainment,Events
2024-12-22,Gizmo World,285.26,Discover,Merchandise,Electronics
2024-02-06,PlayPort,89.04,Visa,Entertainment,Games
2024-02-22,HomeWorks,42.91,Mastercard,Merchandise,Home Goods
